date,max_temp,min_temp,avg_temp,departure,HDD,CDD,precipitation,new_snow,snow_depth
2019/01/01,58,39,48.5,13.3,16,0,0.06,0,0
2019/01/02,40,35,37.5,2.5,27,0,0,0,0
2019/01/03,44,37,40.5,5.7,24,0,0,0,0
2019/01/04,47,35,41,6.3,24,0,0,0,0
2019/01/05,47,41,44,9.5,21,0,0.5,0,0
2019/01/06,49,31,40,5.6,25,0,T,0,0
2019/01/07,34,25,29.5,-4.7,35,0,0,0,0
2019/01/08,45,34,39.5,5.4,25,0,0.17,T,0
2019/01/09,45,34,39.5,5.6,25,0,0.06,0,0
2019/01/10,34,28,31,-2.8,34,0,0,0,0
2019/01/11,30,21,25.5,-8.2,39,0,0,0,0
2019/01/12,34,20,27,-6.6,38,0,0,0,0
2019/01/13,33,25,29,-4.5,36,0,T,T,0
2019/01/14,32,22,27,-6.4,38,0,0,0,0
2019/01/15,36,25,30.5,-2.9,34,0,0,0,0
2019/01/16,39,30,34.5,1.2,30,0,0,0,0
2019/01/17,33,24,28.5,-4.8,36,0,0,0,0
2019/01/18,39,29,34,0.8,31,0,0.05,0.5,1
2019/01/19,37,32,34.5,1.3,30,0,0.29,0.2,0
2019/01/20,42,14,28,-5.2,37,0,0.88,0,0
2019/01/21,14,4,9,-24.1,56,0,0,0,0
2019/01/22,31,13,22,-11.1,43,0,0,0,0
2019/01/23,52,31,41.5,8.3,23,0,T,0,0
2019/01/24,59,35,47,13.8,18,0,1.33,0,0
2019/01/25,40,28,34,0.8,31,0,0,0,0
2019/01/26,35,24,29.5,-3.7,35,0,0,0,0
2019/01/27,49,32,40.5,7.2,24,0,0,0,0
2019/01/28,38,25,31.5,-1.9,33,0,0,0,0
2019/01/29,43,25,34,0.6,31,0,0.23,T,0
2019/01/30,35,6,20.5,-13,44,0,0.01,0.4,0
2019/01/31,16,2,9,-24.6,56,0,0,0,0
